DATE,STATE,UR
2021-01-01,Alabama,4.2
2021-02-01,Alabama,3.9
2021-03-01,Alabama,3.7
2021-04-01,Alabama,3.6
2021-05-01,Alabama,3.5
2021-06-01,Alabama,3.5
2021-07-01,Alabama,3.3
2021-08-01,Alabama,3.2
2021-09-01,Alabama,3.1
2021-10-01,Alabama,2.9
2021-11-01,Alabama,2.8
2021-12-01,Alabama,2.7
2022-01-01,Alabama,2.6
2022-02-01,Alabama,2.6
2022-03-01,Alabama,2.5
2022-04-01,Alabama,2.5
2022-05-01,Alabama,2.5
2022-06-01,Alabama,2.6
2022-07-01,Alabama,2.6
2022-08-01,Alabama,2.6
2022-09-01,Alabama,2.6
2022-10-01,Alabama,2.6
2022-11-01,Alabama,2.6
2022-12-01,Alabama,2.6
2021-01-01,Alaska,7.1
2021-02-01,Alaska,7.1
2021-03-01,Alaska,7.0
2021-04-01,Alaska,7.0
2021-05-01,Alaska,6.8
2021-06-01,Alaska,6.8
2021-07-01,Alaska,6.5
2021-08-01,Alaska,6.3
2021-09-01,Alaska,5.9
2021-10-01,Alaska,5.8
2021-11-01,Alaska,5.5
2021-12-01,Alaska,5.4
2022-01-01,Alaska,5.1
2022-02-01,Alaska,4.7
2022-03-01,Alaska,4.3
2022-04-01,Alaska,4.1
2022-05-01,Alaska,3.9
2022-06-01,Alaska,3.9
2022-07-01,Alaska,3.8
2022-08-01,Alaska,3.6
2022-09-01,Alaska,3.7
2022-10-01,Alaska,3.8
2022-11-01,Alaska,3.7
2022-12-01,Alaska,3.7
2021-01-01,Arizona,6.4
2021-02-01,Arizona,6.2
2021-03-01,Arizona,6.0
2021-04-01,Arizona,5.8
2021-05-01,Arizona,5.5
2021-06-01,Arizona,5.2
2021-07-01,Arizona,5.0
2021-08-01,Arizona,4.7
2021-09-01,Arizona,4.4
2021-10-01,Arizona,4.1
2021-11-01,Arizona,3.9
2021-12-01,Arizona,3.7
2022-01-01,Arizona,3.6
2022-02-01,Arizona,3.6
2022-03-01,Arizona,3.6
2022-04-01,Arizona,3.6
2022-05-01,Arizona,3.7
2022-06-01,Arizona,3.8
2022-07-01,Arizona,3.9
2022-08-01,Arizona,4.0
2022-09-01,Arizona,4.0
2022-10-01,Arizona,4.1
2022-11-01,Arizona,4.0
2022-12-01,Arizona,4.0
2021-01-01,Arkansas,4.9
2021-02-01,Arkansas,4.8
2021-03-01,Arkansas,4.7
2021-04-01,Arkansas,4.5
2021-05-01,Arkansas,4.3
2021-06-01,Arkansas,4.2
2021-07-01,Arkansas,4.0
2021-08-01,Arkansas,3.8
2021-09-01,Arkansas,3.6
2021-10-01,Arkansas,3.5
2021-11-01,Arkansas,3.3
2021-12-01,Arkansas,3.3
2022-01-01,Arkansas,3.2
2022-02-01,Arkansas,3.2
2022-03-01,Arkansas,3.1
2022-04-01,Arkansas,3.1
2022-05-01,Arkansas,3.2
2022-06-01,Arkansas,3.2
2022-07-01,Arkansas,3.3
2022-08-01,Arkansas,3.4
2022-09-01,Arkansas,3.5
2022-10-01,Arkansas,3.5
2022-11-01,Arkansas,3.5
2022-12-01,Arkansas,3.4
2021-01-01,California,8.7
2021-02-01,California,8.5
2021-03-01,California,8.4
2021-04-01,California,8.2
2021-05-01,California,7.9
2021-06-01,California,7.8
2021-07-01,California,7.4
2021-08-01,California,7.0
2021-09-01,California,6.5
2021-10-01,California,6.2
2021-11-01,California,5.8
2021-12-01,California,5.5
